"RACEID","YEAR","ROUND","NAME","F1DATE","TIME","URL","SCORE","DNF_COUNT","DNF_DUE_TO_ACCIDENT_COUNT","WEATHER","WEATHER_WET","CIRCUITREF","YEAR_C","RACE_COUNT","NAME_YEAR","OVERTAKEN_POSITIONS_TOTAL","LAPS_WITH_CHANGE_POS_1","LAPS_WITH_CHANGE_POS_1_5","OVERTAKEN_POSITIONS_DUE_TO_PITSTOP_TOTAL","OVERTAKEN_POSITIONS_REAL_TOTAL","MAX_COMEBACKSCORE","RANK_VERSUS_POSITION","SAFETY_CAR",
841,2011,1,"Australian Grand Prix",2011-03-27 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix",6.751,9,2,"Sunny, 18Ѓ","N","albert_park","2011",1,"2011 Australian Grand Prix",164,2,15,117,47,11,0,0,
842,2011,2,"Malaysian Grand Prix",2011-04-10 00:00:00,"8:00:00","http://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix",7.775,6,3,"Cloudy, dry","N","sepang","2011",1,"2011 Malaysian Grand Prix",255,4,23,46,209,13,16,0,
843,2011,3,"Chinese Grand Prix",2011-04-17 00:00:00,"7:00:00","http://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix",9.241,1,0,"Fine and Dry[1] Air Temp 220C (720F)[1] Track Temp 320C (900F) dropping to 260C (790F)[1]","N","shanghai","2011",1,"2011 Chinese Grand Prix",282,8,28,65,217,17,16,0,
844,2011,4,"Turkish Grand Prix",2011-05-08 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix",7.306,2,0,"Sunny, Fine and Dry[2] Air Temp 170C (630F)[2] Track Temp 350C (950F) dropping to 300C (860F)[2]","N","istanbul","2011",1,"2011 Turkish Grand Prix",364,2,21,28,336,14,10,0,
845,2011,5,"Spanish Grand Prix",2011-05-22 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Spanish_Grand_Prix",7.319,3,1,"Mainly sunny, Fine and Dry[2][3] Air Temp 270C (810F)[3] Track Temp 330C (910F) to 440C (1110F)[3]","N","catalunya","2011",1,"2011 Spanish Grand Prix",275,8,17,55,220,14,2,0,
846,2011,6,"Monaco Grand Prix",2011-05-29 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix",7.684,7,5,"Sunny, Fine and Dry[2]Air Temp 240C (750F)[2]Track Temp 440C (1110F)[2]","N","monaco","2011",1,"2011 Monaco Grand Prix",155,3,15,131,24,10,11,1,
847,2011,7,"Canadian Grand Prix",2011-06-12 00:00:00,"17:00:00","http://en.wikipedia.org/wiki/2011_Canadian_Grand_Prix",9.095,7,5,"Wet at start, very heavy rain later, after rain stops, track drying towards the end. Temperatures up to 270C (810F); wind speeds up to 12 kilometres per hour (7.5-ph)[2]","Y","villeneuve","2011",1,"2011 Canadian Grand Prix",421,3,24,295,126,20,15,1,
849,2011,9,"British Grand Prix",2011-07-10 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_British_Grand_Prix",7.96,5,1,"Wet track at start; subsequently drying[1]Air Temp 200C (680F)[1]Track Temp 220C (720F)[1]","Y","silverstone","2011",1,"2011 British Grand Prix",169,1,15,1,168,10,6,0,
850,2011,10,"German Grand Prix",2011-07-24 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_German_Grand_Prix",8.43,4,1,"Cloudy, (light) rain at start","Y","nurburgring","2011",1,"2011 German Grand Prix",167,9,20,33,134,15,9,0,
851,2011,11,"Hungarian Grand Prix",2011-07-31 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Hungarian_Grand_Prix",8.344,4,0,"Cloudy, rain showers","Y","hungaroring","2011",1,"2011 Hungarian Grand Prix",228,9,27,29,199,12,10,0,
852,2011,12,"Belgian Grand Prix",2011-08-28 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix",7.772,5,2,"Cloudy, dry","N","spa","2011",1,"2011 Belgian Grand Prix",217,9,23,42,175,18,7,1,
853,2011,13,"Italian Grand Prix",2011-09-11 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Italian_Grand_Prix",7.494,8,4,"Mainly sunny","N","monza","2011",1,"2011 Italian Grand Prix",102,1,15,23,79,9,6,1,
854,2011,14,"Singapore Grand Prix",2011-09-25 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2011_Singapore_Grand_Prix",6.39,4,3,"Hot and humid Air Temp 310C (880F)[1]","N","marina_bay","2011",1,"2011 Singapore Grand Prix",225,0,16,82,143,14,4,1,
855,2011,15,"Japanese Grand Prix",2011-10-09 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2011_Japanese_Grand_Prix",7.57,1,0,"Sunny and dry Air Temp 240C (750F)[2]","N","suzuka","2011",1,"2011 Japanese Grand Prix",289,10,19,30,259,15,4,1,
856,2011,16,"Korean Grand Prix",2011-10-16 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2011_Korean_Grand_Prix",6.915,3,2,"Dry, light rain at the start Air Temp 210C (700F)[2]","Y","yeongam","2011",1,"2011 Korean Grand Prix",194,2,10,39,155,10,8,1,
857,2011,17,"Indian Grand Prix",2011-10-30 00:00:00,"9:30:00","http://en.wikipedia.org/wiki/2011_Indian_Grand_Prix",5.555,5,2,"Fine and Dry Air Temp 300C (860F)[1]","N","buddh","2011",1,"2011 Indian Grand Prix",101,0,5,14,87,10,3,0,
858,2011,18,"Abu Dhabi Grand Prix",2011-11-13 00:00:00,"13:00:00","http://en.wikipedia.org/wiki/2011_Abu_Dhabi_Grand_Prix",6.127,4,0,"Fine and Dry Air Temp 250C (770F)[1]","N","yas_marina","2011",1,"2011 Abu Dhabi Grand Prix",174,4,12,15,159,14,7,0,
859,2011,19,"Brazilian Grand Prix",2011-11-27 00:00:00,"16:00:00","http://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix",5.771,4,0,"Fine Air Temp 240C (750F) Track Temp 430C (1090F)[1]","N","interlagos","2011",1,"2011 Brazilian Grand Prix",178,8,18,55,123,9,7,0,
860,2012,1,"Australian Grand Prix",2012-03-18 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix",7.662,10,5,"Fine[1] Air Temp 220C (720F)[1] Track Temp 300C (860F) dropping to 220C (720F)[1]","N","albert_park","2012",1,"2012 Australian Grand Prix",159,4,16,108,51,12,6,1,
861,2012,2,"Malaysian Grand Prix",2012-03-25 00:00:00,"8:00:00","http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix",8.452,3,1,"Heavy rain clearing to cloudy and dry[2] Air Temp 260C (790F)[2]  Track Temp 290C (840F) dropping to 240C (750F) [2]","Y","sepang","2012",1,"2012 Malaysian Grand Prix",362,4,15,65,297,22,12,1,
862,2012,3,"Chinese Grand Prix",2012-04-15 00:00:00,"7:00:00","http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix",8.648,1,0,"not found","N","shanghai","2012",1,"2012 Chinese Grand Prix",356,4,28,64,292,16,17,0,
863,2012,4,"Bahrain Grand Prix",2012-04-22 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix",6.904,4,0,"Sunny and hot[1][2] Air Temp 270C (810F)[2] Track Temp 330C (910F) dropping to 290C (840F)[2]","N","bahrain","2012",1,"2012 Bahrain Grand Prix",333,4,19,41,292,13,19,0,
864,2012,5,"Spanish Grand Prix",2012-05-13 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix",8.274,5,2,"Partially cloudy, dry: Air 230C (730F), Track 360C (970F)","N","catalunya","2012",1,"2012 Spanish Grand Prix",318,6,22,56,262,16,31,0,
866,2012,7,"Canadian Grand Prix",2012-06-10 00:00:00,"18:00:00","http://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix",8.197,4,0,"not found","N","villeneuve","2012",1,"2012 Canadian Grand Prix",199,6,21,151,48,15,22,0,
867,2012,8,"European Grand Prix",2012-06-24 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_European_Grand_Prix",8.784,6,3,"Fine and Dry[2] Air Temp 270C (810F)[2] Track Temp 450C (1130F)[2]","N","valencia","2012",1,"2012 European Grand Prix",284,1,19,199,85,15,30,1,
868,2012,9,"British Grand Prix",2012-07-08 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_British_Grand_Prix",7.048,3,2,"DryAir Temp 200C (680F)[2]Track Temp 310C (880F)[2]","N","silverstone","2012",1,"2012 British Grand Prix",218,3,17,17,201,16,16,0,
869,2012,10,"German Grand Prix",2012-07-22 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_German_Grand_Prix",7.055,0,0,"Fine and Dry[2] Air Temp 220C (720F)[2] Track Temp 300C (860F)[2]","N","hockenheimring","2012",1,"2012 German Grand Prix",225,2,20,45,180,10,20,0,
870,2012,11,"Hungarian Grand Prix",2012-07-29 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_Hungarian_Grand_Prix",5.975,1,0,"Fine and Dry. Very Hot[2][3] Air Temp 300C (860F)[3] Track Temp 450C (1130F)[3]","N","hungaroring","2012",1,"2012 Hungarian Grand Prix",159,5,16,23,136,7,16,0,
871,2012,12,"Belgian Grand Prix",2012-09-02 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix",7.467,6,6,"Fine and Dry[2] Air Temp 230C (730F)[2] Track Temp 330C (910F)[2]","N","spa","2012",1,"2012 Belgian Grand Prix",170,0,22,44,126,10,30,1,
872,2012,13,"Italian Grand Prix",2012-09-09 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix",7.64,5,0,"Dry and sizzlingly sunny[2] Air temp 280C (820F)[2] Track temp 400C (1040F)[2]","N","monza","2012",1,"2012 Italian Grand Prix",215,2,17,26,189,13,21,0,
873,2012,14,"Singapore Grand Prix",2012-09-23 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2012_Singapore_Grand_Prix",5.998,6,3,"Hot and humid[2]Air Temp 290C (840F)[2]Track Temp 310C (880F)[2]","N","marina_bay","2012",1,"2012 Singapore Grand Prix",297,3,13,90,207,16,20,1,
874,2012,15,"Japanese Grand Prix",2012-10-07 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix",6.381,5,3,"Fine and Dry[2] Air Temp 230C (730F)[2] Track Temp 320C (900F)[2]","N","suzuka","2012",1,"2012 Japanese Grand Prix",167,0,11,16,151,13,22,1,
875,2012,16,"Korean Grand Prix",2012-10-14 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2012_Korean_Grand_Prix",5.158,4,2,"Fine and Dry[3] Air Temp 210C (700F)[3] Track Temp 270C (810F) dropping to 230C (730F)[3]","N","yeongam","2012",1,"2012 Korean Grand Prix",128,0,12,27,101,11,13,0,
876,2012,17,"Indian Grand Prix",2012-10-28 00:00:00,"9:30:00","http://en.wikipedia.org/wiki/2012_Indian_Grand_Prix",5.194,3,2,"Fine, Dry, a little hazy and a little dusty[2] Air Temp 300C (860F)[2] Track Temp 360C (970F) dropping to 310C (880F)[2]","N","buddh","2012",1,"2012 Indian Grand Prix",107,0,9,20,87,8,3,0,
877,2012,18,"Abu Dhabi Grand Prix",2012-11-04 00:00:00,"13:00:00","http://en.wikipedia.org/wiki/2012_Abu_Dhabi_Grand_Prix",8.854,7,5,"Dry[2] Air Temp 290C (840F)[2] Track Temp 340C (930F) dropping to 290C (840F)[2]","N","yas_marina","2012",1,"2012 Abu Dhabi Grand Prix",180,1,11,14,166,19,16,1,
879,2012,20,"Brazilian Grand Prix",2012-11-25 00:00:00,"16:00:00","http://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix",9.449,6,6,"Race start: drops of rain, light rain shower getting heavier at the end.[2] Air Temp 190C (660F)[2] Track Temp 210C (700F)[2]","Y","interlagos","2012",1,"2012 Brazilian Grand Prix",367,6,25,136,231,18,17,1,
880,2013,1,"Australian Grand Prix",2013-03-17 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix",7.698,4,1,"Scattered Clouds, Fine and Dry[2] Air Temp 180C (640F)[2] Track Temp 250C (770F) dropping to 190C (660F)[2]","N","albert_park","2013",1,"2013 Australian Grand Prix",289,10,24,225,64,13,8,0,
882,2013,3,"Chinese Grand Prix",2013-04-14 00:00:00,"7:00:00","http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix",7.412,4,2,"not found","N","shanghai","2013",1,"2013 Chinese Grand Prix",292,9,30,77,215,16,17,0,
883,2013,4,"Bahrain Grand Prix",2013-04-21 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix",7.826,1,0,"not found","N","bahrain","2013",1,"2013 Bahrain Grand Prix",353,4,34,72,281,15,13,0,
884,2013,5,"Spanish Grand Prix",2013-05-12 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix",5.947,3,1,"Sunny","N","catalunya","2013",1,"2013 Spanish Grand Prix",328,7,24,54,274,15,9,0,
885,2013,6,"Monaco Grand Prix",2013-05-26 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix",6.132,7,4,"Warm and sunny","N","monaco","2013",1,"2013 Monaco Grand Prix",112,0,10,92,20,10,20,1,
886,2013,7,"Canadian Grand Prix",2013-06-09 00:00:00,"18:00:00","http://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix",6.329,3,3,"Mild with temperatures approaching 230C (730F); wind speeds up to 15 kilometres per hour (9.3-ph)[2]","N","villeneuve","2013",1,"2013 Canadian Grand Prix",139,2,7,95,44,12,4,0,
887,2013,8,"British Grand Prix",2013-06-30 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_British_Grand_Prix",7.394,4,0,"Dry","N","silverstone","2013",1,"2013 British Grand Prix",347,2,22,40,307,18,11,1,
888,2013,9,"German Grand Prix",2013-07-07 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_German_Grand_Prix",7.643,3,1,"Sunny","N","nurburgring","2013",1,"2013 German Grand Prix",253,5,23,38,215,14,10,1,
890,2013,10,"Hungarian Grand Prix",2013-07-28 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix",7.677,5,0,"Very hot and sunny, 35Ѓ.","N","hungaroring","2013",1,"2013 Hungarian Grand Prix",197,8,22,39,158,9,0,0,
891,2013,11,"Belgian Grand Prix",2013-08-25 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix",5.688,3,1,"not found","N","spa","2013",1,"2013 Belgian Grand Prix",192,0,16,51,141,10,4,0,
892,2013,12,"Italian Grand Prix",2013-09-08 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Italian_Grand_Prix",5.84,2,1,"Cloudy","N","monza","2013",1,"2013 Italian Grand Prix",145,2,10,18,127,16,15,0,
893,2013,13,"Singapore Grand Prix",2013-09-22 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix",5.973,4,2,"Dry and 29 degrees","N","marina_bay","2013",1,"2013 Singapore Grand Prix",229,0,16,77,152,16,5,1,
894,2013,14,"Korean Grand Prix",2013-10-06 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix",7.351,3,3,"Cloudy with maximum temperatures reaching 29 degrees during the day","N","yeongam","2013",1,"2013 Korean Grand Prix",257,0,11,68,189,14,18,1,
